"job_id","company_id"
9975,23
10330,36
13057,36
10328,36
13192,203
7140,254
12496,261
9999,187
5423,228
9445,198
11042,13
3949,13
5255,200
9984,187
13335,222
5376,205
7318,227
13175,263
9481,205
11266,187
12276,135
11749,247
10872,193
11159,187
7423,37
5373,205
5388,227
9974,23
12497,261
7752,73
7873,217
11989,227
10000,187
9978,102
10343,174
9985,187
10001,187
13193,95
11987,102
5377,205
4142,88
4141,88
5843,197
10344,187
13337,225
13090,8
12405,48
5268,225
4251,88
13039,59
13336,225
13091,214
11318,141
11578,256
3952,60
10333,36
10329,36
11760,88
4135,88
5110,217
10784,228
11995,79
4027,79
5273,225
7861,88
12404,27
10007,187
7751,73
10009,187
12976,88
9992,187
13338,88
10356,67
7724,42
13167,9
12371,220
11346,21
13092,214
13093,214
13094,69
13046,96
13186,246
5378,95
9684,222
13060,227
11878,227
11348,48
5386,227
2683,42
5383,227
13058,174
7319,227
11986,174
10349,174
6888,88
13168,32
13047,96
10359,67
11044,88
5720,214
5632,216
5634,197
13053,160
4230,88
9350,40
9351,40
167,77
10360,67
5834,197
4,12
773,46
13005,330
11430,102
11655,227
13061,225
13062,225
13339,88
9312,216
11268,88
9979,102
3207,91
11167,88
4192,88
13050,147
4261,95
10361,67
10362,67
10367,67
13219,68
4077,88
13220,68
8878,74
7898,74
11431,102
5389,227
13221,68
13222,68
13006,330
13223,68
9193,173
13224,68
13225,68
13226,68
4255,88
7084,88
7578,88
4194,88
11881,88
4193,88
10342,174
12498,102
5211,222
13179,91
13052,160
13059,67
11758,88
10376,45
10377,45
10378,45
4208,88
1725,173
10379,45
13227,68
13228,68
398,69
10331,36
5636,214
13229,68
13230,68
13231,68
13007,330
5767,214
13232,68
5633,194
5734,214
5279,225
5278,225
11433,88
11754,102
11991,88
13250,51
4227,88
11880,88
13251,51
7867,88
13252,51
5125,198
11646,245
12626,88
11444,254
13253,51
12625,88
13182,101
13236,68
13237,68
13238,68
13239,68
668,46
11349,48
9581,88
12879,88
13234,68
13235,68
13055,160
6,15
7769,48
5753,214
5751,214
11432,88
10873,88
13063,88
9225,88
11434,88
9688,88
11657,88
11543,254
11544,254
13233,68
13243,108
7579,88
13244,108
13240,108
13241,108
13242,108
7782,48
11286,48
7327,124
7770,48
4167,88
4158,88
10940,88
4110,88
13183,116
6750,95
10273,222
4974,193
4186,88
5138,222
3953,60
4185,88
7582,88
4149,88
9385,88
4105,88
4104,88
11534,67
13245,51
4103,88
13246,51
667,46
13294,42
9513,46
9154,46
7017,46
6646,214
13247,51
13184,135
12509,222
10812,46
8982,46
721,46
13248,51
690,46
13249,51
6643,214
9998,187
12514,73
4180,88
13254,46
5733,214
6648,214
5730,214
4097,88
5732,214
5736,214
725,46
5737,214
4078,88
9387,88
13340,88
5246,222
11661,222
5196,222
6608,222
12206,214
6641,214
5748,214
7077,222
13300,47
12408,46
11670,254
5314,205
13188,169
9501,200
4848,88
4176,88
11542,222
10275,222
13085,79
13194,79
10010,187
13195,79
5084,217
6645,214
5099,217
775,46
9444,205
5073,217
5756,214
11680,69
5039,217
8894,46
8895,46
403,69
12212,46
11334,13
12214,46
697,46
755,46
13255,46
8892,46
752,46
5036,217
5031,217
13171,206
13303,71
766,46
11877,95
6903,214
4175,88
4172,88
4002,79
3971,79
11446,13
11333,13
9269,46
3997,79
3995,79
5026,217
5024,217
5380,227
4446,124
5023,217
5022,217
5021,217
7955,88
12982,73
12983,73
13306,78
13176,219
11669,254
3419,140
12278,67
12279,67
13341,217
11556,256
5768,214
5772,214
11988,67
12213,46
4168,88
4165,88
11993,88
5150,222
11169,88
3981,79
9313,46
7872,79
11908,46
11270,79
854,46
10276,217
11762,217
912,21
10282,13
12628,217
686,46
13314,96
13185,245
810,46
13097,46
1018,21
4164,88
6613,88
4163,88
4159,88
5370,205
12391,205
11910,46
5351,205
5350,205
11664,205
7130,254
13315,106
1183,12
12406,48
11681,46
13190,249
12499,67
12872,67
695,46
9158,46
4410,124
10293,253
10365,67
12873,67
9664,33
7354,214
5775,214
5782,214
5794,214
11185,46
5776,214
