"user_id","job_id","direction","time"
5193,3367,true,2019-08-23 08:32:39
7038,4554,true,2019-08-29 16:54:31
2439,2831,false,2019-08-14 11:55:30
1791,6031,true,2019-08-13 09:12:54
1908,2565,true,2019-08-13 14:34:51
6507,3544,true,2019-08-27 14:25:23
3168,3344,false,2019-08-15 11:12:44
5121,1334,true,2019-08-21 21:55:09
4959,3439,true,2019-08-20 16:06:10
756,93,false,2019-08-12 10:46:51
8667,3192,false,2019-09-06 14:05:13
6480,3919,false,2019-08-27 09:46:08
7101,2859,false,2019-08-29 19:34:43
5040,4615,false,2019-08-22 15:53:52
2376,2863,true,2019-09-06 06:54:50
4518,6320,true,2019-08-19 14:14:09
6201,3544,false,2019-08-29 12:00:24
5346,9761,false,2019-08-21 16:54:01
3375,6960,false,2019-08-15 20:43:56
2637,2859,false,2019-08-14 14:58:07
9981,2828,true,2019-09-15 15:28:15
5337,2828,false,2019-08-22 07:38:09
990,3168,true,2019-08-12 12:56:53
10854,7653,true,2019-09-24 10:50:46
1224,11358,false,2019-09-18 11:26:11
585,2945,false,2019-08-10 10:07:58
3591,6120,false,2019-08-16 14:31:49
3339,1156,false,2019-08-15 19:22:04
2853,7817,false,2019-08-14 17:41:40
5652,172,false,2019-08-22 16:04:32
1287,3688,false,2019-08-12 16:51:56
756,172,false,2019-08-12 10:48:30
3366,6106,true,2019-08-15 20:35:10
4473,3846,true,2019-08-19 12:45:09
2088,3439,false,2019-08-13 18:37:36
8793,10133,false,2019-09-09 09:27:03
8703,3433,false,2019-09-15 14:24:56
7155,10522,false,2019-09-20 14:13:56
4167,2751,false,2019-09-09 04:35:28
1062,6909,true,2019-08-31 08:00:57
1197,3249,false,2019-08-12 22:11:34
1170,9027,false,2019-08-12 19:36:44
1494,5388,false,2019-08-13 13:33:18
1809,10141,false,2019-08-27 08:24:18
3204,3724,true,2019-08-15 17:15:38
6183,8029,true,2019-08-25 00:33:25
6111,7724,false,2019-08-29 11:47:23
2997,11584,true,2019-09-13 12:19:09
7326,11401,false,2019-09-10 18:00:14
2853,2952,false,2019-08-14 17:54:52
4320,4527,true,2019-08-19 01:20:40
6525,9224,false,2019-08-27 12:00:34
4482,4920,true,2019-08-19 15:34:04
63,1507,true,2019-08-12 16:15:07
2952,8047,false,2019-08-14 20:46:25
1206,9457,false,2019-08-26 14:07:48
4248,9231,true,2019-08-18 19:20:31
2304,3734,true,2019-08-14 09:30:12
2997,9216,false,2019-08-14 22:58:00
3564,3101,true,2019-08-16 13:55:03
7047,2589,true,2019-08-29 17:15:28
1575,6231,false,2019-08-12 21:04:50
1206,3431,false,2019-08-12 21:23:20
2727,6194,true,2019-08-14 20:45:23
3393,9531,false,2019-09-23 21:39:16
315,3492,false,2019-09-03 14:09:42
8487,2640,false,2019-09-05 14:29:23
1854,6120,true,2019-08-13 10:16:39
5940,4649,false,2019-08-23 12:21:13
2223,6122,false,2019-08-14 07:31:17
6525,3408,false,2019-08-27 11:53:00
9477,3688,false,2019-09-12 13:02:01
5499,6247,true,2019-08-29 14:40:04
4005,6404,false,2019-08-19 12:53:39
1791,7075,true,2019-08-13 09:13:57
5580,7567,true,2019-08-22 14:03:47
1791,5713,true,2019-08-13 09:13:50
3276,11314,false,2019-09-22 22:25:18
2079,3544,false,2019-08-13 18:14:02
9405,3190,true,2019-09-18 20:26:35
7173,5908,true,2019-08-30 08:56:57
1206,6605,false,2019-08-14 20:29:16
9405,891,true,2019-09-18 20:20:47
6651,3556,false,2019-08-27 20:17:50
3879,722,false,2019-08-16 20:41:33
8928,1188,true,2019-09-07 10:35:22
4689,1401,false,2019-08-20 21:04:24
7506,3198,true,2019-08-31 22:34:57
5436,716,true,2019-08-22 08:54:41
8901,1160,true,2019-09-07 08:29:02
5346,5422,false,2019-08-21 16:41:21
